node,group
Ginevra Weasley,Gryffindor
Cho Chang,Ravenclaw
Draco Malfoy,Slytherin
Albus Dumbledore,Gryffindor
Ronald Weasley,Gryffindor
Harry Potter,Gryffindor
Tom Riddle,Slytherin
Dolores Umbridge,Slytherin
Neville Longbottom,Gryffindor
Molly Weasley,Gryffindor
George Weasley,Gryffindor
Cedric Diggory,Hufflepuff
Vernon Dursley,Other
Sirius Black,Gryffindor
Fred Weasley,Gryffindor
Hermione Granger,Gryffindor
Minerva McGonagall,Gryffindor
Dobby,Other
Horace Slughorn,Slytherin
Rubeus Hagrid,Gryffindor
Severus Snape,Slytherin
Alastor Moody,Gryffindor
Godric Gryffindor,Gryffindor
Remus Lupin,Gryffindor
