source,dest,connections
Germany,Germany,2278
France,France,2155
Spain,Spain,1321
Italy,Italy,957
Netherlands,Netherlands,345
Poland,Poland,284
Switzerland,Switzerland,216
Portugal,Portugal,211
Austria,Austria,154
Belgium,Belgium,142
Czechia,Czechia,73
Luxembourg,Luxembourg,23
Portugal,Spain,17
Austria,Germany,15
France,Switzerland,15
Italy,Switzerland,12
Germany,Switzerland,12
France,Germany,9
Belgium,France,8
Germany,Netherlands,8
Austria,Switzerland,6
Austria,Czechia,6
France,Italy,5
Denmark,Denmark,5
Czechia,Germany,5
Germany,Luxembourg,4
France,Spain,4
Belgium,Netherlands,4
Germany,Poland,3
Czechia,Poland,3
Austria,Italy,3
Belgium,Luxembourg,2
Denmark,Germany,1
Italy,Malta,1
Austria,Poland,1
Andorra,France,1
